Comment,Designator,Footprint,LCSC,Quantity
1K,R1,R_0402_1005Metric,C11702,1
MAX98357A,U7,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1
Conn_01x04_Pin,J9,PinSocket_1x04_P2.54mm_Horizontal,,1
SW_Push,SW5,SW_PUSH-12mm,,1
SW_SPDT,SW9,SW_SPST_B3S-1100,,1
PWR,D11,LED_0603_1608Metric,,1
SK6812,D10,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SW_Push,SW3,SW_PUSH-12mm,,1
SK6812,D9,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SW_Push,SW1,SW_PUSH-12mm,,1
Conn_01x04_Pin,J8,PinSocket_1x04_P2.54mm_Horizontal,,1
Conn_01x08_Pin,J7,PinSocket_1x08_P2.54mm_Horizontal,,1
SW_Push,SW4,SW_PUSH-12mm,,1
100nF,C2,C_0402_1005Metric,,1
Conn_01x08_Pin,J5,PinSocket_1x08_P2.54mm_Horizontal,,1
Conn_01x04_Pin,J12,PinSocket_1x04_P2.54mm_Horizontal,,1
Conn_01x04_Pin,J11,PinSocket_1x04_P2.54mm_Horizontal,,1
SW_Push,SW7,SW_PUSH-12mm,,1
SW_Push,SW2,SW_PUSH-12mm,,1
SW_Push,SW8,SW_PUSH-12mm,,1
SW_Push,SW6,SW_PUSH-12mm,,1
100nF,C1,C_0402_1005Metric,,1
CR2013-MI2120,U5,CR2013-MI2120,,1
Conn_01x07_Pin,J13,PinSocket_1x07_P2.54mm_Vertical,,1
Conn_01x10,J1,PinSocket_1x10_P2.54mm_Vertical,,1
Conn_01x06,J4,PinSocket_1x06_P2.54mm_Vertical,,1
Conn_01x02,J6,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x12,J3,PinSocket_1x12_P2.54mm_Vertical,,1
Conn_01x10,J2,PinSocket_1x10_P2.54mm_Vertical,,1
Conn_01x02,J10,PinHeader_1x02_P2.54mm_Vertical,,1
